run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,shape_fit_attempted,shape_fit_resolved,shape_fit_nonconcave,shape_fit_failed,ulp_step_adjusted,eps_ulps_bumped,fit_fast_sec,fit_high_precision_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-04-30 23:44:47,963,28.862150,1.295252,30.157401,463651,683,0.651971134536,0,1,0,1,1,0,0,0,0,0.000000,0.182997,1,1,1,0,1.0e+32
2026-04-30 23:44:47,964,28.749436,1.256250,30.005686,464613,683,0.652331786537,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,965,29.961080,1.239975,31.201055,465593,686,0.652173913043,0,1,0,1,1,0,0,0,0,0.000000,0.118122,1,1,1,0,1.0e+32
2026-04-30 23:44:47,966,29.031898,1.336937,30.368834,466549,681,0.652016725146,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,967,28.770948,1.338402,30.109350,467531,685,0.652376212324,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,968,30.075522,1.297631,31.373153,468491,676,0.651702964323,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,969,28.655713,1.287552,29.943265,469459,687,0.651546864711,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,970,28.694554,1.317924,30.012478,470437,691,0.652420363598,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,971,28.845004,1.259672,30.104677,471377,680,0.651749148107,0,2,0,2,2,0,0,0,0,0.000000,0.173618,2,2,2,0,1.0e+32
2026-04-30 23:44:47,972,28.851131,1.316287,30.167418,472377,683,0.651593481525,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,973,30.116958,1.264811,31.381769,473351,691,0.651950718686,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,974,29.412995,1.281614,30.694609,474301,681,0.651795047685,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,975,29.291885,1.380464,30.672350,475285,685,0.651639811768,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,976,30.414372,1.356085,31.770456,476247,685,0.651995905834,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,977,29.599827,1.378895,30.978722,477235,683,0.651840665674,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,978,29.610553,1.355425,30.965977,478223,695,0.651685858073,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,979,29.813818,1.292647,31.106465,479185,691,0.652040816327,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,980,29.808030,1.301161,31.109191,480171,691,0.651886004656,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,981,30.867230,1.287401,32.154632,481153,693,0.651731623043,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,982,30.330807,1.328794,31.659601,482127,693,0.652085452696,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,983,30.087530,1.347491,31.435021,483121,683,0.651931067183,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,984,31.351103,1.309503,32.660606,484103,697,0.651777109248,0,1,0,1,1,0,0,0,0,0.000000,0.120343,1,1,1,0,1.0e+32
