run_started_at,n,tie_idx,tie_index_signed,tie_p,i,j,anomaly_flags,eps_floor_hit,ulp_adjust_left,ulp_adjust_right,deadzone_used,deadzone_flat_side,methods_tried,deadzone_resolution,resolution_path,resolution_failure_reason,extremum_type,extremum_ambiguous,dir_change
2026-05-02 14:56:14,916,243477,33713,0.54799921173664345,151,833,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,921,120329,-91731,0.36484840139998342,16,726,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,921,120330,-91730,0.36484840140090785,62,653,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,921,303790,91730,0.63515159859909209,268,859,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,921,303791,91731,0.63515159860001658,195,905,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,924,240794,27350,0.53817684318797676,422,572,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,944,309247,86463,0.62005081170352938,387,770,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,maximum,0,1
2026-05-02 14:56:14,946,160168,-63561,0.41385950210396877,266,521,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,946,160169,-63560,0.4138595021049527,367,416,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,946,287289,63560,0.5861404978950473,530,579,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,946,287290,63561,0.58614049789603118,425,680,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,959,145574,-84346,0.38704509136747778,8,809,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,maximum,0,1
2026-05-02 14:56:14,963,179553,-52289,0.4321961743556787,119,734,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,maximum,0,1
2026-05-02 14:56:14,963,284131,52289,0.56780382564432141,229,844,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,maximum,0,1
