run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,ulp_step_adjusted,hp_3point_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-05-02 12:27:57,369,3.493475,0.070344,3.563819,68081,255,0.651351351351,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,370,3.416562,0.070341,3.486903,68451,255,0.652291105121,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,371,3.445623,0.070898,3.516520,68821,257,0.651882929546,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,372,3.314683,0.069355,3.384038,69193,263,0.651474530831,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,373,3.348258,0.098347,3.446606,69565,259,0.652406417112,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,374,3.452305,0.070170,3.522475,69939,259,0.652001190962,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,375,3.453501,0.088700,3.542202,70313,263,0.651595744681,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,376,3.535804,0.146076,3.681879,70689,265,0.652519893899,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,377,3.714008,0.076339,3.790347,71065,265,0.652117575330,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,378,3.634177,0.085700,3.719878,71443,275,0.651715039578,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,379,3.737477,0.096268,3.833745,71821,267,0.652631578947,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,380,3.796839,0.068270,3.865109,72201,267,0.652232126986,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,381,3.867968,0.071612,3.939580,72581,263,0.651832460733,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,382,3.782080,0.071610,3.853690,72963,267,0.651437167967,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,383,3.854766,0.125915,3.980681,73345,265,0.652344888883,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,384,3.714724,0.095994,3.810717,73729,269,0.651948051948,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,385,3.759439,0.103979,3.863419,74113,273,0.651555524232,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,386,3.785201,0.081605,3.866806,74499,269,0.652455902641,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,387,3.719280,0.099236,3.818516,74885,265,0.652061855670,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,388,3.906714,0.070939,3.977653,75273,277,0.651672055054,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,389,3.974255,0.133328,4.107583,75661,271,0.652565208599,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,390,3.966353,0.072709,4.039062,76051,275,0.652173913043,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,391,4.099335,0.073844,4.173178,76441,275,0.651786802341,0,0,0,0,0.000000,0,0,0,0,1.0e+12
