run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points
2026-04-30 15:54:35,181,0.136525,0.025204,0.161729,16381
2026-04-30 15:54:35,182,0.143031,0.026890,0.169922,16563
2026-04-30 15:54:35,183,0.136101,0.026857,0.162958,16745
2026-04-30 15:54:35,184,0.137767,0.026707,0.164474,16929
2026-04-30 15:54:35,185,0.142199,0.024589,0.166788,17113
2026-04-30 15:54:35,186,0.143675,0.036386,0.180061,17299
2026-04-30 15:54:35,187,0.145096,0.038564,0.183660,17485
2026-04-30 15:54:35,188,0.140023,0.036269,0.176292,17673
2026-04-30 15:54:35,189,0.167334,0.031396,0.198730,17861
2026-04-30 15:54:35,190,0.149214,0.048844,0.198057,18051
2026-04-30 15:54:35,191,0.145213,0.046334,0.191546,18241
2026-04-30 15:54:35,192,0.154699,0.054358,0.209058,18433
2026-04-30 15:54:35,193,0.162579,0.034947,0.197526,18625
2026-04-30 15:54:35,196,0.188460,0.030970,0.219430,19209
2026-04-30 15:54:35,195,0.193735,0.034983,0.228718,19013
2026-04-30 15:54:35,194,0.195586,0.039855,0.235441,18819
2026-04-30 15:54:35,197,0.206585,0.027416,0.234001,19403
2026-04-30 15:54:35,198,0.187214,0.033756,0.220970,19603
2026-04-30 15:54:35,199,0.184366,0.030425,0.214792,19801
2026-04-30 15:54:35,200,0.183054,0.030851,0.213905,20001
2026-04-30 15:54:35,201,0.188152,0.039989,0.228141,20201
2026-04-30 15:54:35,202,0.168863,0.036197,0.205060,20403
2026-04-30 15:54:35,203,0.170074,0.032813,0.202887,20605
2026-04-30 15:54:35,204,0.173818,0.033401,0.207220,20809
2026-04-30 15:54:35,205,0.172221,0.029060,0.201281,21013
2026-04-30 15:54:35,207,0.170889,0.031193,0.202082,21425
2026-04-30 15:54:35,206,0.184859,0.032845,0.217704,21219
2026-04-30 15:54:35,208,0.190047,0.050286,0.240333,21633
2026-04-30 15:54:35,209,0.180500,0.047408,0.227908,21841
