run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,shape_fit_attempted,shape_fit_resolved,shape_fit_nonconcave,shape_fit_failed,ulp_step_adjusted,eps_ulps_bumped
2026-04-30 16:19:46,2,0.000408,0.000486,0.000894,3,1,0.500000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,3,0.000324,0.000249,0.000573,5,3,0.633974596216,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,4,0.000449,0.000261,0.000710,9,3,0.600000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,5,0.000587,0.000294,0.000882,13,3,0.585786437627,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,6,0.000806,0.000306,0.001112,19,7,0.646110632135,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,7,0.001028,0.000316,0.001344,25,5,0.625000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,8,0.001330,0.000364,0.001694,33,5,0.612574113277,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,9,0.001633,0.000418,0.002050,41,11,0.651668522645,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,10,0.001973,0.000384,0.002357,51,7,0.636363636364,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,11,0.002546,0.000569,0.003115,61,7,0.625933303851,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,12,0.002774,0.000472,0.003246,73,11,0.617360894272,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,13,0.004397,0.002439,0.006836,85,9,0.642857142857,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,14,0.004538,0.007468,0.012006,99,9,0.633974596216,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,18,0.006444,0.001599,0.008042,163,11,0.631578947368,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,15,0.004895,0.006972,0.011867,113,11,0.656929669183,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,17,0.006287,0.002716,0.009004,145,11,0.639355090267,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,16,0.005829,0.005172,0.011001,129,11,0.647058823529,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,19,0.007700,0.000729,0.008429,181,15,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,21,0.008866,0.001020,0.009886,221,15,0.636363636364,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,20,0.011490,0.000865,0.012355,201,15,0.643210827675,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,23,0.010474,0.001435,0.011909,265,17,0.646110632135,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,25,0.011804,0.000935,0.012739,313,17,0.634830452061,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,22,0.012596,0.001616,0.014212,243,17,0.652173913043,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,24,0.014389,0.001832,0.016220,289,17,0.640000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,26,0.015524,0.001062,0.016586,339,21,0.648371295226,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,27,0.016450,0.001016,0.017465,365,17,0.642857142857,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,28,0.015997,0.002061,0.018059,393,19,0.638108799556,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,30,0.018755,0.001175,0.019930,451,19,0.645161290323,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,29,0.020625,0.001020,0.021645,421,23,0.650183396287,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,31,0.019691,0.001099,0.020791,481,21,0.640774297069,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,32,0.027005,0.001635,0.028640,513,27,0.651668522645,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,33,0.021562,0.001441,0.023003,545,25,0.647058823529,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,34,0.022048,0.001455,0.023502,579,23,0.642984250021,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,35,0.024146,0.002050,0.026196,613,27,0.639199718945,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,36,0.026281,0.001476,0.027756,649,27,0.648648648649,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,37,0.027819,0.003824,0.031643,685,23,0.644846332925,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,38,0.030004,0.001677,0.031681,723,27,0.641295120207,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,39,0.031734,0.003866,0.035600,761,27,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,40,0.031972,0.002233,0.034205,801,27,0.646436743621,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,41,0.033106,0.001763,0.034869,841,29,0.642857142857,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,42,0.034646,0.001722,0.036368,883,31,0.651162790698,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,43,0.049269,0.001987,0.051256,925,29,0.647810928038,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,44,0.047654,0.002017,0.049671,969,31,0.644444444444,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,45,0.040734,0.001969,0.042703,1013,33,0.652173913043,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,46,0.048989,0.002124,0.051113,1059,33,0.649010197739,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,47,0.045423,0.002499,0.047923,1105,33,0.645833333333,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,48,0.047611,0.002193,0.049805,1153,33,0.642921962688,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,50,0.058123,0.003358,0.061481,1251,35,0.647058823529,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,49,0.065352,0.002693,0.068046,1201,37,0.650065965931,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,51,0.056288,0.003163,0.059451,1301,33,0.644288975871,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,53,0.061899,0.002668,0.064567,1405,41,0.648148148148,0,0,0,0,0,0,0,0,0
